,,,Bye,GP,Car,Rush Yds,Rush TDs,Fum,Recp,Rec. Yds,Rec. TDs,KR TDs,PR TDs
Ameer Abdullah,DET,RB,9,0,167,684,4.0,1.4,48.5,389,1.9,0.0,0.0
Jay Ajayi,MIA,RB,5,0,45,171,1.8,0.6,9.1,50,0.0,0.0,0.0
Javorius Allen,BAL,RB,9,0,109,398,2.4,0.9,14.8,118,0.9,0.0,0.0
C.J. Anderson,DEN,RB,7,0,255,1159,9.0,1.7,43.3,327,2.0,0.0,0.0
Dri Archer,PIT,RB,11,0,21,85,0.2,0.1,9.3,64,0.2,0.0,0.0
Cameron Artis-Payne,CAR,RB,5,0,57,219,1.4,0.8,9.0,65,0.1,0.0,0.0
Matt Asiata,MIN,RB,5,0,26,107,1.3,0.1,14.6,99,0.5,0.0,0.0
Montee Ball,DEN,RB,7,0,55,175,1.2,0.8,7.6,62,0.4,0.0,0.0
Vick Ballard,IND,RB,10,0,10,37,0.1,0.1,0.8,7,0.0,0.0,0.0
Joique Bell,DET,RB,9,0,162,667,6.2,1.7,26.0,215,0.7,0.0,0.0
LeVeon Bell,PIT,RB,11,0,220,1005,8.4,1.7,61.0,596,2.5,0.0,0.0
Giovani Bernard,CIN,RB,7,0,131,538,3.3,1.2,48.8,403,2.1,0.0,0.0
LeGarrette Blount,NE,RB,4,0,202,870,7.7,1.2,8.7,43,0.2,0.0,0.0
Alfred Blue,HOU,RB,9,0,140,497,3.4,1.2,20.8,134,0.8,0.0,0.0
Tommy Bohanon,NYJ,RB,5,0,1,3,0.0,0.1,4.3,28,0.1,0.0,0.0
Brandon Bolden,NE,RB,4,0,55,190,0.7,0.3,6.3,47,0.2,0.0,0.0
Bryce Brown,BUF,RB,8,0,7,26,0.3,0.1,2.9,18,0.1,0.0,0.0
Donald Brown,SD,RB,10,0,39,139,0.7,0.3,5.3,34,0.0,0.0,0.0
Reggie Bush,SF,RB,10,0,92,367,2.2,1.2,38.0,225,1.3,0.0,0.0
KaDeem Carey,CHI,RB,7,0,45,199,1.5,0.2,3.6,22,0.1,0.0,0.0
Jamaal Charles,KC,RB,9,0,246,1202,8.2,2.3,49.3,347,2.9,0.0,0.0
David Cobb,TEN,RB,4,0,155,627,4.5,1.3,12.3,84,0.1,0.0,0.0
Tevin Coleman,ATL,RB,10,0,167,628,5.1,1.7,25.4,159,1.1,0.0,0.0
Isaiah Crowell,CLE,RB,11,0,184,780,5.8,1.8,10.0,77,0.1,0.0,0.0
Benny Cunningham,STL,RB,6,0,38,153,1.1,0.8,30.9,249,0.9,0.0,0.0
Knile Davis,KC,RB,9,0,109,391,4.0,1.4,15.3,124,0.4,0.0,0.0
Patrick DiMarco,ATL,RB,10,0,1,0,0.0,0.1,9.3,59,0.2,0.0,0.0
Anthony Dixon,BUF,RB,8,0,58,248,1.6,0.4,10.3,73,0.3,0.0,0.0
Shaun Draughn,CLE,RB,11,0,7,22,0.1,0.1,0.0,0,0.0,0.0,0.0
Lance Dunbar,DAL,RB,6,0,82,298,1.6,0.6,28.0,253,0.6,0.0,0.0
Andre Ellington,ARI,RB,9,0,209,775,5.2,1.6,43.2,325,1.7,0.0,0.0
Justin Forsett,BAL,RB,9,0,189,914,6.0,1.4,61.3,458,2.1,0.0,0.0
Matt Forte,CHI,RB,7,0,252,1040,7.1,2.0,54.3,404,2.3,0.0,0.0
Arian Foster,HOU,RB,9,0,180,868,6.2,1.8,28.0,231,0.9,0.0,0.0
Devonta Freeman,ATL,RB,10,0,144,544,3.7,1.2,38.8,286,1.7,0.0,0.0
Toby Gerhart,JAX,RB,8,0,51,182,1.7,0.8,23.2,201,0.1,0.0,0.0
Mike Gillislee,MIA,RB,5,0,5,19,0.1,0.1,5.3,33,0.0,0.0,0.0
Melvin Gordon,SD,RB,10,0,229,989,6.6,2.0,23.3,179,0.9,0.0,0.0
Frank Gore,IND,RB,10,0,226,942,6.9,2.1,45.7,351,2.1,0.0,0.0
Jonas Gray,NE,RB,4,0,76,329,3.7,0.3,3.3,26,0.0,0.0,0.0
Jonathan Grimes,HOU,RB,9,0,50,202,1.0,0.3,7.8,48,0.1,0.0,0.0
Todd Gurley,STL,RB,6,0,199,822,5.4,1.9,23.4,178,0.8,0.0,0.0
Roy Helu,OAK,RB,6,0,60,271,1.2,0.9,40.7,299,1.6,0.0,0.0
Dan Herron,IND,RB,10,0,67,288,1.9,0.8,18.3,163,0.7,0.0,0.0
Jeremy Hill,CIN,RB,7,0,259,1260,8.4,1.7,25.6,202,0.8,0.0,0.0
Ronnie Hillman,DEN,RB,7,0,75,299,1.8,0.3,13.7,117,0.6,0.0,0.0
Kendall Hunter,SF,RB,10,0,48,190,1.5,0.3,7.3,52,0.1,0.0,0.0
Carlos Hyde,SF,RB,10,0,217,917,6.9,2.1,19.0,121,0.7,0.0,0.0
Mark Ingram,NO,RB,11,0,229,1016,8.2,1.6,29.5,202,0.8,0.0,0.0
Chris Ivory,NYJ,RB,5,0,217,930,6.5,1.6,20.4,137,0.9,0.0,0.0
Mike James,TB,RB,6,0,19,64,0.1,0.1,0.8,6,0.0,0.0,0.0
Rashad Jennings,NYG,RB,11,0,152,611,5.3,1.1,24.0,187,0.8,0.0,0.0
Chris Johnson,ARI,RB,9,0,55,237,2.0,0.2,15.1,133,0.9,0.0,0.0
David Johnson,ARI,RB,9,0,88,351,2.5,0.9,22.3,163,0.9,0.0,0.0
Duke Johnson,CLE,RB,11,0,141,551,3.2,1.4,42.3,291,1.5,0.0,0.0
Will Johnson,PIT,RB,11,0,1,3,0.0,0.0,5.6,41,0.1,0.0,0.0
Matt Jones,WAS,RB,8,0,80,324,1.9,0.6,37.3,252,1.1,0.0,0.0
Kyle Juszczyk,BAL,RB,9,0,0,0,0.0,0.1,17.6,149,0.9,0.0,0.0
John Kuhn,GB,RB,7,0,23,79,1.1,0.1,6.4,32,0.1,0.0,0.0
Eddie Lacy,GB,RB,7,0,254,1117,9.0,2.0,43.5,384,2.1,0.0,0.0
Marshawn Lynch,SEA,RB,9,0,262,1136,10.1,1.5,36.2,326,2.6,0.0,0.0
Doug Martin,TB,RB,6,0,204,780,6.0,1.6,29.1,217,0.8,0.0,0.0
Tre Mason,STL,RB,6,0,114,507,3.4,1.1,20.6,163,0.7,0.0,0.0
Ryan Mathews,PHI,RB,8,0,152,643,4.0,1.1,11.4,91,0.0,0.0,0.0
Dexter McCluster,TEN,RB,4,0,35,125,0.2,0.4,21.4,146,0.5,0.0,0.0
LeSean McCoy,BUF,RB,8,0,250,1088,6.9,1.7,33.3,248,1.3,0.0,0.0
Darren McFadden,DAL,RB,6,0,165,604,4.1,1.5,22.3,169,0.8,0.0,0.0
Jerick McKinnon,MIN,RB,5,0,62,307,1.9,0.4,26.3,187,0.7,0.0,0.0
Christine Michael,SEA,RB,9,0,63,291,0.8,0.2,3.4,26,0.1,0.0,0.0
Bruce Miller,SF,RB,10,0,2,6,0.0,0.1,14.9,130,0.5,0.0,0.0
Lamar Miller,MIA,RB,5,0,223,1051,7.3,2.0,34.6,265,1.5,0.0,0.0
Alfred Morris,WAS,RB,8,0,264,1136,7.3,2.0,18.0,146,0.7,0.0,0.0
DeMarco Murray,PHI,RB,8,0,271,1207,8.1,2.1,30.3,220,0.9,0.0,0.0
Latavius Murray,OAK,RB,6,0,230,1015,6.7,1.6,23.2,164,0.7,0.0,0.0
Branden Oliver,SD,RB,10,0,59,242,1.8,0.3,11.0,84,0.0,0.0,0.0
Cedric Peerman,CIN,RB,7,0,17,57,0.2,0.1,3.0,22,0.0,0.0,0.0
Adrian Peterson,MIN,RB,5,0,287,1232,11.3,2.5,43.1,333,1.5,0.0,0.0
Bernard Pierce,JAX,RB,8,0,18,76,0.8,0.1,2.6,18,0.0,0.0,0.0
Chris Polk,HOU,RB,9,0,82,324,2.1,0.5,12.5,92,0.2,0.0,0.0
Bilal Powell,NYJ,RB,5,0,50,214,1.5,0.3,21.6,158,0.7,0.0,0.0
Bobby Rainey,TB,RB,6,0,49,216,1.2,0.3,10.9,76,0.0,0.0,0.0
Joseph Randle,DAL,RB,6,0,163,897,6.3,2.0,23.5,160,0.6,0.0,0.0
Silas Redd,WAS,RB,8,0,10,54,0.3,0.2,7.5,36,0.1,0.0,0.0
Marcel Reece,OAK,RB,6,0,36,125,0.9,0.8,23.7,171,0.5,0.0,0.0
Theo Riddick,DET,RB,9,0,27,94,0.5,0.6,31.5,285,1.3,0.0,0.0
Stevan Ridley,NYJ,RB,5,0,62,237,1.2,0.9,2.4,20,0.0,0.0,0.0
Denard Robinson,JAX,RB,8,0,82,358,2.1,1.3,14.2,118,0.1,0.0,0.0
Josh Robinson,IND,RB,10,0,38,138,1.1,0.2,8.8,57,0.0,0.0,0.0
Khiry Robinson,NO,RB,11,0,67,314,2.5,0.8,14.8,103,0.4,0.0,0.0
Jacquizz Rodgers,CHI,RB,7,0,47,174,0.8,0.2,9.1,59,0.2,0.0,0.0
Bishop Sankey,TEN,RB,4,0,137,543,3.5,1.7,22.4,144,0.3,0.0,0.0
Anthony Sherman,KC,RB,9,0,3,9,0.1,0.1,8.7,65,0.3,0.0,0.0
Charles Sims,TB,RB,6,0,92,316,3.0,1.0,26.4,216,0.7,0.0,0.0
Antone Smith,ATL,RB,10,0,52,284,2.2,0.8,17.0,130,1.1,0.0,0.0
C.J. Spiller,NO,RB,11,0,89,363,2.8,1.1,68.7,542,2.9,0.0,0.0
Darren Sproles,PHI,RB,8,0,47,257,2.0,0.8,40.0,397,1.9,0.0,0.0
Zac Stacy,NYJ,RB,5,0,66,257,1.5,0.3,7.1,50,0.1,0.0,0.0
James Starks,GB,RB,7,0,99,380,2.3,0.5,18.4,129,0.6,0.0,0.0
Jonathan Stewart,CAR,RB,5,0,232,1024,5.5,1.7,28.5,198,0.8,0.0,0.0
Lorenzo Taliaferro,BAL,RB,9,0,85,346,3.5,0.4,9.7,74,0.2,0.0,0.0
Stepfan Taylor,ARI,RB,9,0,24,89,0.8,0.1,7.0,45,0.1,0.0,0.0
Chris Thompson,WAS,RB,8,0,9,36,0.0,0.1,9.2,60,0.3,0.0,0.0
Juwan Thompson,DEN,RB,7,0,38,168,1.3,0.1,7.0,46,0.0,0.0,0.0
Zurlon Tipton,IND,RB,10,0,10,33,0.4,0.1,3.6,25,0.0,0.0,0.0
Mike Tolbert,CAR,RB,5,0,37,114,2.1,0.6,8.0,51,0.1,0.0,0.0
Robert Turbin,SEA,RB,9,0,73,288,1.1,0.8,15.3,138,1.2,0.0,0.0
Shane Vereen,NYG,RB,11,0,102,423,2.6,1.1,53.2,423,2.0,0.0,0.0
Terrance West,CLE,RB,11,0,66,269,3.0,0.8,5.7,39,0.1,0.0,0.0
Fozzy Whittaker,CAR,RB,5,0,16,70,0.5,0.1,3.0,18,0.1,0.0,0.0
James White,NE,RB,4,0,46,188,0.9,0.7,24.9,155,1.0,0.0,0.0
Andre Williams,NYG,RB,11,0,125,439,4.3,1.1,10.6,86,0.3,0.0,0.0
Damien Williams,MIA,RB,5,0,73,255,2.7,0.4,14.7,94,0.6,0.0,0.0
DeAngelo Williams,PIT,RB,11,0,118,424,2.8,1.1,10.7,82,0.3,0.0,0.0
Karlos Williams,BUF,RB,8,0,52,209,1.0,0.2,9.0,71,0.2,0.0,0.0
Kerwynn Williams,ARI,RB,9,0,11,54,0.6,0.1,4.5,28,0.2,0.0,0.0
Danny Woodhead,SD,RB,10,0,66,245,1.7,0.9,57.2,455,2.5,0.0,0.0
T.J. Yeldon,JAX,RB,8,0,210,848,5.3,1.6,29.5,227,0.8,0.0,0.0
Darrel Young,WAS,RB,8,0,16,45,1.5,0.1,9.3,46,0.2,0.0,0.0
